,ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Time spent on fitness,Time spent on sleep,Time spent on social media,Change in your weight,Health issue during lockdown
672,R681,Delhi-NCR,22,0.0,Very poor,1.0,10.0,1.0,Increased,NO
677,R686,Delhi-NCR,21,3.0,Average,1.0,7.0,1.0,Decreased,NO
679,R688,Outside Delhi-NCR,22,3.0,Very poor,0.0,7.0,4.0,Increased,NO
680,R689,Delhi-NCR,21,7.0,Very poor,0.0,8.0,3.0,Remain Constant,NO
683,R692,Delhi-NCR,21,4.0,Good,1.0,7.0,3.0,Remain Constant,NO
684,R693,Delhi-NCR,23,3.0,Very poor,1.0,7.0,1.5,Increased,YES
685,R694,Delhi-NCR,22,0.0,Very poor,0.0,14.0,2.0,Increased,NO
688,R697,Delhi-NCR,21,3.0,Average,0.0,9.0,2.0,Increased,NO
690,R699,Delhi-NCR,22,0.0,Average,1.0,6.0,1.0,Remain Constant,NO
693,R702,Delhi-NCR,22,2.0,Good,1.0,6.0,1.0,Increased,NO
698,R707,Delhi-NCR,23,2.0,Average,1.0,12.0,1.0,Remain Constant,YES
704,R713,Delhi-NCR,22,2.0,Good,1.0,7.0,1.0,Increased,NO
705,R714,Delhi-NCR,21,4.0,Average,0.0,7.0,2.0,Increased,NO
710,R719,Delhi-NCR,21,3.0,Very poor,1.0,8.0,3.0,Increased,NO
713,R722,Delhi-NCR,21,3.0,Very poor,0.0,9.0,4.0,Increased,NO
721,R730,Delhi-NCR,23,0.0,Average,1.0,9.0,3.0,Increased,NO
722,R731,Outside Delhi-NCR,29,2.0,Average,1.0,8.0,0.0,Remain Constant,NO
724,R733,Outside Delhi-NCR,22,1.0,Very poor,0.25,10.0,1.0,Remain Constant,NO
729,R738,Outside Delhi-NCR,21,1.0,Very poor,1.0,9.0,1.0,Remain Constant,NO
730,R739,Outside Delhi-NCR,21,4.0,Average,0.0,8.0,2.0,Decreased,NO
734,R743,Outside Delhi-NCR,28,3.0,Good,0.0,10.0,1.0,Increased,NO
736,R745,Delhi-NCR,21,2.0,Average,1.0,8.0,1.0,Remain Constant,NO
737,R746,Delhi-NCR,23,0.0,Good,0.0,10.0,4.0,Increased,NO
739,R748,Delhi-NCR,22,4.0,Good,1.0,12.0,2.0,Remain Constant,NO
743,R752,Outside Delhi-NCR,23,3.0,Good,1.0,6.0,1.0,Remain Constant,NO
744,R753,Outside Delhi-NCR,21,2.0,Very poor,1.0,8.0,4.0,Increased,NO
746,R755,Outside Delhi-NCR,23,3.0,Good,0.0,6.0,1.0,Remain Constant,NO
748,R757,Outside Delhi-NCR,22,2.0,Good,1.0,8.0,2.0,Increased,NO
750,R759,Outside Delhi-NCR,21,5.0,Very poor,1.0,7.0,1.0,Remain Constant,NO
752,R761,Outside Delhi-NCR,21,1.0,Very poor,1.0,11.0,2.0,Increased,NO
753,R762,Delhi-NCR,22,5.0,Good,0.0,7.0,2.0,Remain Constant,NO
755,R764,Delhi-NCR,21,1.0,Good,2.0,7.0,2.0,Remain Constant,NO
756,R765,Outside Delhi-NCR,22,2.0,Average,0.3,8.0,1.0,Increased,YES
759,R768,Delhi-NCR,21,0.5,Very poor,1.0,9.0,1.0,Increased,NO
760,R769,Delhi-NCR,21,1.0,Very poor,0.0,9.0,3.0,Remain Constant,NO
762,R771,Outside Delhi-NCR,21,2.0,Very poor,0.0,8.0,1.0,Increased,YES
763,R772,Outside Delhi-NCR,23,5.5,Excellent,1.0,8.0,1.0,Decreased,NO
764,R773,Delhi-NCR,21,0.0,Very poor,0.0,9.0,4.0,Increased,NO
770,R779,Delhi-NCR,23,3.0,Average,1.0,6.0,3.0,Remain Constant,NO
771,R780,Outside Delhi-NCR,21,7.0,Average,0.0,6.0,1.0,Increased,NO
775,R784,Outside Delhi-NCR,30,4.0,Average,1.0,7.8,4.0,Increased,NO
776,R785,Outside Delhi-NCR,21,5.0,Average,1.0,8.0,2.0,Remain Constant,NO
778,R787,Delhi-NCR,22,3.0,Average,0.0,8.0,2.0,Remain Constant,YES
780,R789,Outside Delhi-NCR,24,5.0,Excellent,3.0,8.0,2.0,Remain Constant,NO
782,R791,Outside Delhi-NCR,22,1.0,Very poor,1.0,5.0,10.0,Decreased,NO
790,R799,Outside Delhi-NCR,30,1.0,Good,1.0,7.0,1.0,Remain Constant,NO
791,R800,Delhi-NCR,23,5.0,Excellent,1.0,8.0,1.0,Remain Constant,YES
795,R804,Delhi-NCR,21,3.0,Very poor,0.0,7.0,1.0,Increased,NO
797,R806,Delhi-NCR,24,0.0,Average,1.0,8.0,1.0,Remain Constant,NO
800,R809,Outside Delhi-NCR,23,3.0,Poor,0.0,9.0,3.0,Increased,NO
801,R810,Delhi-NCR,26,3.0,Very poor,1.0,8.0,1.0,Increased,NO
803,R812,Outside Delhi-NCR,22,0.0,Very poor,1.0,8.0,0.0,Remain Constant,YES
806,R815,Outside Delhi-NCR,22,0.0,Average,0.0,10.0,5.0,Remain Constant,NO
808,R817,Outside Delhi-NCR,23,1.0,Poor,1.0,8.0,2.0,Increased,YES
809,R818,Outside Delhi-NCR,21,3.0,Very poor,2.0,7.0,3.0,Remain Constant,NO
810,R819,Outside Delhi-NCR,21,5.0,Average,0.0,5.0,2.0,Remain Constant,NO
813,R822,Outside Delhi-NCR,22,3.0,Good,1.0,8.0,2.0,Remain Constant,NO
814,R823,Outside Delhi-NCR,21,2.0,Very poor,2.0,8.0,4.0,Remain Constant,NO
816,R825,Outside Delhi-NCR,22,2.0,Average,1.0,9.0,2.0,Decreased,NO
817,R826,Outside Delhi-NCR,21,0.0,Very poor,3.0,9.0,1.0,Decreased,YES
818,R827,Outside Delhi-NCR,22,3.0,Very poor,1.0,8.0,3.0,Remain Constant,NO
819,R828,Outside Delhi-NCR,21,2.0,Good,2.0,7.0,0.5,Remain Constant,NO
820,R829,Outside Delhi-NCR,21,3.0,Very poor,0.0,6.0,1.0,Decreased,YES
821,R830,Delhi-NCR,21,2.0,Very poor,0.0,8.0,2.0,Increased,YES
824,R833,Delhi-NCR,21,3.0,Very poor,0.0,7.0,1.0,Remain Constant,NO
826,R835,Outside Delhi-NCR,21,4.0,Average,0.0,6.0,4.0,Remain Constant,NO
827,R836,Delhi-NCR,21,3.0,Very poor,1.0,8.0,1.0,Remain Constant,NO
828,R837,Delhi-NCR,21,5.0,Average,0.0,5.0,2.0,Increased,YES
831,R840,Delhi-NCR,22,4.0,Good,1.0,8.0,5.0,Remain Constant,NO
833,R842,Delhi-NCR,22,3.0,Good,0.0,12.0,1.0,Remain Constant,NO
836,R845,Delhi-NCR,23,4.0,Good,0.5,7.0,3.0,Remain Constant,NO
838,R847,Outside Delhi-NCR,24,2.0,Average,0.5,9.0,2.0,Remain Constant,NO
840,R849,Delhi-NCR,22,2.0,Excellent,1.0,8.0,2.0,Decreased,NO
842,R851,Delhi-NCR,21,4.0,Very poor,0.0,10.0,2.0,Increased,NO
844,R853,Delhi-NCR,27,3.0,Good,1.0,8.0,2.0,Decreased,YES
846,R855,Outside Delhi-NCR,21,2.0,Very poor,1.0,9.0,5.0,Increased,NO
849,R858,Delhi-NCR,22,5.0,Average,1.0,6.0,2.0,Increased,NO
850,R859,Delhi-NCR,21,3.0,Very poor,1.0,8.0,0.75,Remain Constant,NO
851,R860,Outside Delhi-NCR,21,3.0,Very poor,0.0,8.0,1.0,Increased,NO
852,R861,Delhi-NCR,21,4.0,Very poor,0.0,9.0,2.0,Remain Constant,NO
853,R862,Delhi-NCR,21,4.0,Very poor,1.0,7.0,2.0,Increased,NO
854,R863,Delhi-NCR,21,4.0,Average,2.0,12.0,2.0,Decreased,NO
858,R867,Delhi-NCR,21,3.0,Average,2.0,7.0,1.0,Remain Constant,NO
861,R870,Delhi-NCR,22,5.0,Average,0.0,8.0,3.0,Remain Constant,NO
867,R876,Outside Delhi-NCR,21,3.0,Very poor,1.0,5.0,2.0,Remain Constant,NO
872,R881,Outside Delhi-NCR,21,5.0,Average,0.0,9.0,1.0,Remain Constant,NO
877,R886,Delhi-NCR,22,6.0,Very poor,0.0,8.0,2.0,Increased,NO
878,R887,Delhi-NCR,22,5.0,Average,1.0,8.0,2.0,Decreased,NO
879,R888,Delhi-NCR,28,3.0,Good,1.0,8.0,4.0,Remain Constant,NO
882,R891,Outside Delhi-NCR,21,2.0,Very poor,0.0,8.0,1.0,Increased,YES
