"Location","All Adults","Male","Female"
"Alabama","0.303","0.252","0.348"
"Alaska","0.315","0.305","0.326"
"Arizona","0.364","0.317","0.409"
"Arkansas","0.380","0.344","0.413"
"California","0.374","0.323","0.425"
"Colorado","0.359","0.280","0.436"
"Connecticut","0.402","0.360","0.440"
"Delaware","0.347","0.336","0.358"
"District of Columbia","0.376","0.273","0.465"
"Florida","0.368","0.319","0.416"
"Georgia","0.362","0.300","0.422"
"Hawaii","0.370","0.339","0.399"
"Idaho","0.333","0.272","0.393"
"Illinois","0.366","0.408","0.328"
"Indiana","0.378","0.351","0.405"
"Iowa","0.282","0.191","0.374"
"Kansas","0.325","0.254","0.396"
"Kentucky","0.364","0.319","0.405"
"Louisiana","0.389","0.308","0.466"
"Maine","0.343","0.283","0.397"
"Maryland","0.329","0.259","0.393"
"Massachusetts","0.406","0.359","0.450"
"Michigan","0.394","0.327","0.455"
"Minnesota","0.324","0.296","0.351"
"Mississippi","0.345","0.268","0.411"
"Missouri","0.352","0.291","0.408"
"Montana","0.273","0.264","0.281"
"Nebraska","0.286","0.214","0.357"
"Nevada","0.348","0.286","0.409"
"New Hampshire","0.348","0.333","0.362"
"New Jersey","0.376","0.321","0.428"
"New Mexico","0.346","0.253","0.429"
"New York","0.414","0.334","0.486"
"North Carolina","0.346","0.331","0.360"
"North Dakota","0.277","0.187","0.371"
"Ohio","0.351","0.268","0.430"
"Oklahoma","0.341","0.316","0.364"
"Oregon","0.368","0.315","0.422"
"Pennsylvania","0.351","0.289","0.410"
"Rhode Island","0.344","0.316","0.368"
"South Carolina","0.333","0.313","0.350"
"South Dakota","0.256","0.197","0.312"
"Tennessee","0.334","0.362","0.309"
"Texas","0.349","0.285","0.412"
"Utah","0.347","0.294","0.399"
"Vermont","0.339","0.297","0.380"
"Virginia","0.337","0.307","0.364"
"Washington","0.350","0.274","0.422"
"West Virginia","0.343","0.338","0.347"
"Wisconsin","0.311","0.276","0.346"
"Wyoming","0.310","0.283","0.337"
