"country","rate2019both","rate2019male","rate2019female","pop2022"
"Yemen","5.8000","7","4.6000","31154.8670"
"Turkmenistan","5.7000","8.8000","2.7000","6201.9430"
"Malaysia","5.7000","8.9000","2.3000","33181.0720"
"Rwanda","5.6000","8.2000","3","13600.4640"
"Madagascar","5.5000","7.6000","3.4000","29178.0770"
"Comoros","5.4000","7","3.8000","907.4190"
"Laos","5.4000","7.6000","3.2000","7481.0230"
"Malawi","5.4000","9.2000","1.7000","20180.8390"
"Ethiopia","5.4000","7.7000","3.1000","120812.6980"
"Israel","5.3000","8.4000","2.3000","8922.8920"
"Niger","5.3000","7.2000","3.3000","26083.6600"
"Mexico","5.3000","8.5000","2.2000","131562.7720"
"Iran","5.2000","7.7000","2.8000","86022.8370"
"Greece","5.1000","8.4000","1.9000","10316.6370"
"Oman","4.9000","6.8000","1","5323.9930"
"Dominican Republic","4.9000","8","1.8000","11056.3700"
"Cambodia","4.9000","7","2.8000","17168.6390"
"Gambia","4.8000","6.6000","3","2558.4820"
"Bhutan","4.6000","6.3000","2.7000","787.9410"
"Uganda","4.6000","7.6000","1.7000","48432.8630"
"Liberia","4.5000","5.6000","3.3000","5305.1170"
"Libya","4.5000","6","2.9000","7040.7450"
"Nicaragua","4.4000","6.9000","1.9000","6779.1000"
"Albania","4.3000","5.9000","2.7000","2866.3740"
"Tajikistan","4.3000","5.7000","2.8000","9957.4640"
"Tanzania","4.3000","6.6000","2","63298.5500"
"Azerbaijan","4.1000","6.6000","1.6000","10300.2050"
"Mali","4.1000","5.3000","2.9000","21473.7640"
"Afghanistan","4.1000","4.6000","3.6000","40754.3880"
"South Sudan","3.9000","5.7000","2","11618.5110"
"Colombia","3.9000","6.1000","1.8000","51512.7620"
"Tonga","3.8000","5","2.6000","107.7490"
"Sudan","3.8000","4.9000","2.8000","45992.0200"
"Timor-Leste","3.7000","5.3000","2","1369.4290"
"Bangladesh","3.7000","5.7000","1.7000","167885.6890"
"Cyprus","3.6000","6","1.3000","1223.3870"
"Iraq","3.6000","5.2000","2","42164.9650"
"Bahamas","3.5000","5.9000","1.3000","400.5160"
"Nigeria","3.5000","5","1.9000","216746.9340"
"Armenia","3.3000","5.6000","1.3000","2971.9660"
"Tunisia","3.3000","4.7000","1.9000","12046.6560"
"Mauritania","3.1000","4","2.2000","4901.9810"
"Papua New Guinea","3","4.3000","1.6000","9292.1690"
"Egypt","3","4","2","106156.6920"
"Kuwait","2.9000","4.3000","0.7000","4380.3260"
"Panama","2.9000","4.7000","1","4446.9640"
"Myanmar","2.9000","4.9000","1.1000","55227.1430"
"Lebanon","2.8000","3.8000","1.7000","6684.8490"
"Peru","2.8000","4.2000","1.4000","33684.2080"
"Brunei","2.7000","4.4000","0.8000","445.4310"
"Maldives","2.7000","3.9000","0.8000","540.9850"
"Algeria","2.5000","3.1000","1.8000","45350.1480"
"Jamaica","2.4000","3.7000","1.1000","2985.0940"
"Turkey","2.4000","3.6000","1.2000","85561.9760"
"Indonesia","2.4000","3.7000","1.1000","279134.5050"
"Philippines","2.2000","3.1000","1.2000","112508.9940"
"Honduras","2.1000","3.3000","0.8000","10221.2470"
"Venezuela","2.1000","3.5000","0.7000","29266.9910"
"Jordan","1.6000","2.5000","0.7000","10300.8690"
"Sao Tome and Principe","1.5000","2.2000","0.8000","227.6790"
"Saint Vincent and the Grenadines","1","1.3000","0.6000","111.5510"
"Grenada","0.7000","0.6000","0.7000","113.4750"
"Barbados","0.6000","0.9000","0.3000","288.0230"
"Antigua and Barbuda","0.4000","0","0.8000","99.5090"
